product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,cost,product_line,start_date
81,446,PA-T100,Touring-Panniers- Large,AC_PA,Accessories,Panniers,No,52,Touring,2012-07-01 00:00:00
82,448,PU-0452,Minipump,AC_PU,Accessories,Pumps,Yes,8,Other Sales,2012-07-01 00:00:00
83,449,PU-M044,Mountain Pump,AC_PU,Accessories,Pumps,Yes,10,Mountain,2012-07-01 00:00:00
84,419,RW-M423,LL Mountain Rear Wheel,CO_WH,Components,Wheels,Yes,39,Mountain,2012-07-01 00:00:00
85,420,RW-M762,ML Mountain Rear Wheel,CO_WH,Components,Wheels,Yes,105,Mountain,2012-07-01 00:00:00
86,421,RW-M928,HL Mountain Rear Wheel,CO_WH,Components,Wheels,Yes,145,Mountain,2012-07-01 00:00:00
87,422,RW-R623,LL Road Rear Wheel,CO_WH,Components,Wheels,Yes,50,Road,2012-07-01 00:00:00
88,423,RW-R762,ML Road Rear Wheel,CO_WH,Components,Wheels,Yes,122,Road,2012-07-01 00:00:00
89,424,RW-R820,HL Road Rear Wheel,CO_WH,Components,Wheels,Yes,159,Road,2012-07-01 00:00:00
90,425,RW-T905,Touring Rear Wheel,CO_WH,Components,Wheels,Yes,109,Touring,2012-07-01 00:00:00
91,461,SB-M891-L,Men's Bib-Shorts- L,CL_BS,Clothing,Bib-Shorts,No,37,Other Sales,2012-07-01 00:00:00
92,460,SB-M891-M,Men's Bib-Shorts- M,CL_BS,Clothing,Bib-Shorts,No,37,Other Sales,2012-07-01 00:00:00
93,459,SB-M891-S,Men's Bib-Shorts- S,CL_BS,Clothing,Bib-Shorts,No,37,Other Sales,2012-07-01 00:00:00
94,454,SH-M897-L,Men's Sports Shorts- L,CL_SH,Clothing,Shorts,No,25,Other Sales,2012-07-01 00:00:00
95,453,SH-M897-M,Men's Sports Shorts- M,CL_SH,Clothing,Shorts,No,25,Other Sales,2012-07-01 00:00:00
96,445,SH-M897-S,Men's Sports Shorts- S,CL_SH,Clothing,Shorts,No,25,Other Sales,2012-07-01 00:00:00
97,455,SH-M897-X,Men's Sports Shorts- XL,CL_SH,Clothing,Shorts,No,25,Other Sales,2012-07-01 00:00:00
98,458,TG-W091-L,Women's Tights- L,CL_TI,Clothing,Tights,No,31,Other Sales,2012-07-01 00:00:00
99,457,TG-W091-M,Women's Tights- M,CL_TI,Clothing,Tights,No,31,Other Sales,2012-07-01 00:00:00
100,456,TG-W091-S,Women's Tights- S,CL_TI,Clothing,Tights,No,31,Other Sales,2012-07-01 00:00:00
101,601,BB-7421,LL Bottom Bracket,CO_BB,Components,Bottom Brackets,Yes,24,n/a,2013-07-01 00:00:00
102,602,BB-8107,ML Bottom Bracket,CO_BB,Components,Bottom Brackets,Yes,45,n/a,2013-07-01 00:00:00
103,603,BB-9108,HL Bottom Bracket,CO_BB,Components,Bottom Brackets,Yes,54,n/a,2013-07-01 00:00:00
104,478,BC-M005,Mountain Bottle Cage,AC_BC,Accessories,Bottles and Cages,No,4,Mountain,2013-07-01 00:00:00
105,479,BC-R205,Road Bottle Cage,AC_BC,Accessories,Bottles and Cages,No,3,Road,2013-07-01 00:00:00
106,596,BK-M18B-40,Mountain-500 Black- 40,BI_MB,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01 00:00:00
107,597,BK-M18B-42,Mountain-500 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01 00:00:00
108,598,BK-M18B-44,Mountain-500 Black- 44,BI_MB,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01 00:00:00
109,599,BK-M18B-48,Mountain-500 Black- 48,BI_MB,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01 00:00:00
110,600,BK-M18B-52,Mountain-500 Black- 52,BI_MB,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01 00:00:00
111,591,BK-M18S-40,Mountain-500 Silver- 40,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01 00:00:00
112,592,BK-M18S-42,Mountain-500 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01 00:00:00
113,593,BK-M18S-44,Mountain-500 Silver- 44,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01 00:00:00
114,594,BK-M18S-48,Mountain-500 Silver- 48,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01 00:00:00
115,595,BK-M18S-52,Mountain-500 Silver- 52,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01 00:00:00
116,587,BK-M38S-38,Mountain-400-W Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01 00:00:00
117,588,BK-M38S-40,Mountain-400-W Silver- 40,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01 00:00:00
118,589,BK-M38S-42,Mountain-400-W Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01 00:00:00
119,590,BK-M38S-46,Mountain-400-W Silver- 46,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01 00:00:00
120,359,BK-M68B-38,Mountain-200 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01 00:00:00
121,361,BK-M68B-42,Mountain-200 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01 00:00:00
122,363,BK-M68B-46,Mountain-200 Black- 46,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01 00:00:00
123,353,BK-M68S-38,Mountain-200 Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01 00:00:00
124,355,BK-M68S-42,Mountain-200 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01 00:00:00
125,357,BK-M68S-46,Mountain-200 Silver- 46,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01 00:00:00
126,604,BK-R19B-44,Road-750 Black- 44,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01 00:00:00
127,605,BK-R19B-48,Road-750 Black- 48,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01 00:00:00
128,606,BK-R19B-52,Road-750 Black- 52,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01 00:00:00
129,584,BK-R19B-58,Road-750 Black- 58,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01 00:00:00
130,382,BK-R64Y-38,Road-550-W Yellow- 38,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01 00:00:00
131,384,BK-R64Y-40,Road-550-W Yellow- 40,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01 00:00:00
132,386,BK-R64Y-42,Road-550-W Yellow- 42,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01 00:00:00
133,388,BK-R64Y-44,Road-550-W Yellow- 44,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01 00:00:00
134,390,BK-R64Y-48,Road-550-W Yellow- 48,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01 00:00:00
135,580,BK-R79Y-40,Road-350-W Yellow- 40,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01 00:00:00
136,581,BK-R79Y-42,Road-350-W Yellow- 42,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01 00:00:00
137,582,BK-R79Y-44,Road-350-W Yellow- 44,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01 00:00:00
138,583,BK-R79Y-48,Road-350-W Yellow- 48,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01 00:00:00
139,374,BK-R89B-44,Road-250 Black- 44,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01 00:00:00
140,376,BK-R89B-48,Road-250 Black- 48,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01 00:00:00
141,378,BK-R89B-52,Road-250 Black- 52,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01 00:00:00
142,380,BK-R89B-58,Road-250 Black- 58,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01 00:00:00
143,372,BK-R89R-58,Road-250 Red- 58,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01 00:00:00
144,585,BK-T18U-44,Touring-3000 Blue- 44,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
145,586,BK-T18U-50,Touring-3000 Blue- 50,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
146,565,BK-T18U-54,Touring-3000 Blue- 54,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
147,566,BK-T18U-58,Touring-3000 Blue- 58,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
148,567,BK-T18U-62,Touring-3000 Blue- 62,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
149,568,BK-T18Y-44,Touring-3000 Yellow- 44,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
150,569,BK-T18Y-50,Touring-3000 Yellow- 50,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
151,570,BK-T18Y-54,Touring-3000 Yellow- 54,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
152,571,BK-T18Y-58,Touring-3000 Yellow- 58,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
153,572,BK-T18Y-62,Touring-3000 Yellow- 62,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01 00:00:00
154,577,BK-T44U-46,Touring-2000 Blue- 46,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01 00:00:00
155,578,BK-T44U-50,Touring-2000 Blue- 50,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01 00:00:00
156,579,BK-T44U-54,Touring-2000 Blue- 54,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01 00:00:00
157,560,BK-T44U-60,Touring-2000 Blue- 60,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01 00:00:00
158,573,BK-T79U-46,Touring-1000 Blue- 46,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
159,574,BK-T79U-50,Touring-1000 Blue- 50,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
160,575,BK-T79U-54,Touring-1000 Blue- 54,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
161,576,BK-T79U-60,Touring-1000 Blue- 60,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
162,561,BK-T79Y-46,Touring-1000 Yellow- 46,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
163,562,BK-T79Y-50,Touring-1000 Yellow- 50,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
164,563,BK-T79Y-54,Touring-1000 Yellow- 54,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
165,564,BK-T79Y-60,Touring-1000 Yellow- 60,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01 00:00:00
166,225,CA-1098,AWC Logo Cap,CL_CA,Clothing,Caps,No,7,Other Sales,2013-07-01 00:00:00
167,559,CH-0234,Chain,CO_CH,Components,Chains,Yes,9,n/a,2013-07-01 00:00:00
168,484,CL-9009,Bike Wash - Dissolver,AC_CL,Accessories,Cleaners,Yes,3,Other Sales,2013-07-01 00:00:00
169,556,CS-4759,LL Crankset,CO_CS,Components,Cranksets,Yes,78,n/a,2013-07-01 00:00:00
170,557,CS-6583,ML Crankset,CO_CS,Components,Cranksets,Yes,114,n/a,2013-07-01 00:00:00
171,558,CS-9183,HL Crankset,CO_CS,Components,Cranksets,Yes,180,n/a,2013-07-01 00:00:00
172,555,FB-9873,Front Brakes,CO_BR,Components,Brakes,Yes,47,n/a,2013-07-01 00:00:00
173,552,FD-2342,Front Derailleur,CO_DE,Components,Derailleurs,Yes,41,n/a,2013-07-01 00:00:00
174,485,FE-6654,Fender Set - Mountain,AC_FE,Accessories,Fenders,No,8,Mountain,2013-07-01 00:00:00
175,550,FR-M21B-40,LL Mountain Frame - Black- 40,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01 00:00:00
176,531,FR-M21B-42,LL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01 00:00:00
177,532,FR-M21B-44,LL Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01 00:00:00
178,533,FR-M21B-48,LL Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01 00:00:00
179,534,FR-M21B-52,LL Mountain Frame - Black- 52,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01 00:00:00
180,551,FR-M21S-40,LL Mountain Frame - Silver- 40,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01 00:00:00
181,524,FR-M21S-42,LL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01 00:00:00
182,525,FR-M21S-44,LL Mountain Frame - Silver- 44,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01 00:00:00
183,526,FR-M21S-48,LL Mountain Frame - Silver- 48,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01 00:00:00
184,527,FR-M21S-52,LL Mountain Frame - Silver- 52,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01 00:00:00
185,549,FR-M63S-38,ML Mountain Frame-W - Silver- 38,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01 00:00:00
186,511,FR-M63S-40,ML Mountain Frame-W - Silver- 40,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01 00:00:00
187,512,FR-M63S-42,ML Mountain Frame-W - Silver- 42,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01 00:00:00
188,513,FR-M63S-46,ML Mountain Frame-W - Silver- 46,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01 00:00:00
189,306,FR-M94B-38,HL Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,739,Mountain,2013-07-01 00:00:00
190,298,FR-M94B-42,HL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,739,Mountain,2013-07-01 00:00:00
191,303,FR-M94B-46,HL Mountain Frame - Black- 46,CO_MF,Components,Mountain Frames,Yes,739,Mountain,2013-07-01 00:00:00
192,309,FR-M94S-38,HL Mountain Frame - Silver- 38,CO_MF,Components,Mountain Frames,Yes,747,Mountain,2013-07-01 00:00:00
193,290,FR-M94S-42,HL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,747,Mountain,2013-07-01 00:00:00
194,295,FR-M94S-46,HL Mountain Frame - Silver- 46,CO_MF,Components,Mountain Frames,Yes,747,Mountain,2013-07-01 00:00:00
195,281,FR-R38B-44,LL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01 00:00:00
196,284,FR-R38B-48,LL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01 00:00:00
197,287,FR-R38B-52,LL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01 00:00:00
198,255,FR-R38B-58,LL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01 00:00:00
199,258,FR-R38B-60,LL Road Frame - Black- 60,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01 00:00:00
200,261,FR-R38B-62,LL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01 00:00:00
201,418,FR-R72Y-38,ML Road Frame-W - Yellow- 38,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01 00:00:00
202,430,FR-R72Y-40,ML Road Frame-W - Yellow- 40,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01 00:00:00
203,432,FR-R72Y-42,ML Road Frame-W - Yellow- 42,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01 00:00:00
204,434,FR-R72Y-44,ML Road Frame-W - Yellow- 44,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01 00:00:00
205,436,FR-R72Y-48,ML Road Frame-W - Yellow- 48,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01 00:00:00
206,440,FR-R92B-44,HL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
207,442,FR-R92B-48,HL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
208,444,FR-R92B-52,HL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
209,438,FR-R92B-62,HL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
210,243,FR-R92R-44,HL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
211,246,FR-R92R-48,HL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01 00:00:00
